R;G;B
107;107;99
108;108;100
108;108;100
109;110;100
109;109;100
111;111;102
111;111;102
115;115;105
115;115;105
116;117;106
117;118;107
119;120;108
122;123;111
125;126;113
127;129;116
131;132;118
133;135;121
136;138;123
139;142;126
141;144;127
144;147;130
147;150;132
150;154;135
152;156;137
156;159;140
159;165;143
161;165;144
164;169;147
167;171;149
167;171;149
169;174;150
172;177;152
174;179;154
186;192;163
186;193;163
186;193;163
186;192;163
186;193;164
186;192;163
186;192;163
184;191;162
184;191;162
184;190;161
183;189;160
182;188;159
182;188;159
180;186;158
180;185;157
180;185;157
178;184;156
177;183;155
176;181;154
176;181;154
176;182;155
183;190;160
183;190;160
183;190;160
184;191;161
183;190;160
182;189;159
182;189;159
184;190;161
183;190;160
183;190;160
185;192;161
185;191;161
185;192;162
185;192;162
185;192;162
186;193;162
188;195;165
188;195;165
189;195;165
189;196;165
189;196;165
190;197;166
190;197;166
190;197;166
189;196;165
189;196;165
189;196;165
189;196;166
188;195;165
189;195;165
188;195;164
188;195;164
188;195;165
188;195;165
189;195;165
189;195;165
189;195;165
189;195;165
188;194;164
187;195;164
187;195;164
187;195;164
188;195;164
187;194;163
187;194;163
187;194;163
187;194;163
187;194;164
187;194;164
186;194;163
186;194;163
186;193;163
186;193;163
185;192;162
185;192;162
186;193;162
186;193;162
187;194;164
187;194;164
187;194;164
186;194;164
186;194;164
188;194;165
186;192;163
186;192;163
186;193;164
186;193;164
186;193;164
186;192;163
186;192;164
187;193;164
187;193;164
187;193;164
187;193;164
187;193;164
187;194;165
187;194;165
190;196;166
190;196;166
190;196;166
190;197;167
189;196;165
190;196;166
187;194;164
187;194;164
187;194;164
186;193;163
186;193;163
187;193;164
185;191;162
185;191;162
186;192;162
186;192;162
185;191;161
185;191;161
185;191;161
186;192;162
186;193;163
186;193;163
187;193;164
187;193;164
187;194;164
187;194;164
188;196;165
188;196;165
188;195;165
188;195;165
189;196;166
189;196;166
189;197;166
189;196;165
189;196;165
190;197;166
190;197;166
189;197;167
189;197;167
189;197;167
188;196;166
189;196;166
186;192;163
186;192;163
185;192;163
184;191;162
184;191;162
179;185;157
178;184;156
177;184;156
177;183;155
174;180;154
174;180;154
174;180;154
175;180;154
178;184;158
180;185;159
180;185;159
181;187;160
182;188;160
184;190;163
184;190;163
186;192;164
185;192;163
185;192;163
185;192;163
185;191;162
183;189;161
183;189;161
182;189;161
182;188;160
182;188;160
180;187;159
180;186;159
180;186;159
179;185;158
180;186;158
179;185;158
178;184;157
178;184;157
178;184;156
177;183;156
178;183;156
176;183;156
176;183;155
176;183;155
177;182;156
177;182;156
176;182;156
173;180;153
173;180;153
173;179;153
172;179;153
170;176;151
170;176;151
163;168;146
161;166;144
161;166;144
161;166;144
158;163;141
158;163;141
151;155;136
150;154;135
150;154;135
150;153;135
150;153;135
150;153;135
146;149;131
145;148;130
145;148;130
144;147;129
144;147;129
143;147;128
138;140;124
136;138;122
136;138;122
135;137;122
135;137;122
134;136;121
130;132;118
129;131;117
128;129;115
129;130;116
128;129;115
128;129;115
126;128;114
126;128;114
126;127;114
126;127;114
125;126;113
125;126;113
125;126;113
124;125;112
124;125;112
124;125;112
124;125;112
124;125;112
124;125;112
127;128;115
127;128;115
129;130;116
129;130;116
129;130;116
129;130;116
136;139;123
140;142;125
140;142;125
145;148;129
145;148;130
145;148;130
147;149;131
147;149;131
147;149;131
148;150;131
148;150;131
147;150;131
148;150;132
148;150;132
149;151;133
149;151;133
150;154;134
150;154;134
150;154;134
150;154;134
150;154;134
151;154;135
153;156;137
153;156;137
154;157;138
154;158;138
155;159;139
155;159;139
156;159;139
155;160;139
156;160;139
156;160;139
156;160;139
156;160;139
158;162;141
157;161;140
157;161;140
155;159;139
155;158;139
153;156;137
153;156;137
142;146;128
142;146;128
140;143;126
140;143;126
140;142;125
139;141;125
138;141;124
138;140;123
138;140;123
138;140;123
139;140;124
139;140;124
138;140;123
135;136;121
134;135;120
132;134;119
132;134;119
132;134;119
131;133;118
131;133;118
127;129;115
126;128;114
115;116;104
115;115;104
115;115;104
115;116;104
117;117;105
117;117;105
116;117;106
118;119;107
118;119;107
118;119;108
118;119;108
118;119;107
117;118;106
116;117;105
117;117;105
116;118;106
116;118;106
116;117;104
116;117;104
116;117;104
115;116;104
115;116;104
115;116;104
116;116;105
113;114;102
114;115;102
113;114;102
113;114;102
113;114;102
113;114;102
114;114;103
114;114;103
114;114;103
115;115;104
116;116;104
116;116;104
117;117;106
118;119;106
118;120;107
119;120;107
119;120;107
118;120;107
119;120;107
119;120;107
120;122;108
120;122;108
121;123;109
121;123;109
121;122;109
121;122;109
123;124;110
124;126;111
125;127;112
125;127;112
125;127;112
126;127;113
123;125;111
123;125;111
121;123;109
121;123;109
121;123;109
121;122;109
121;122;109
121;123;108
122;124;109
122;124;109
122;124;109
123;125;110
124;126;111
124;126;111
124;126;111
124;126;111
124;126;111
124;126;111
125;126;112
123;125;110
121;122;109
119;121;107
119;121;107
119;121;107
119;121;107
119;121;107
121;122;109
124;126;111
125;127;112
125;128;113
126;129;113
126;129;113
126;129;113
128;130;115
128;131;115
128;130;115
128;130;115
127;130;115
127;130;115
128;130;115
127;130;115
127;130;115
126;129;113
127;130;115
127;130;114
127;130;114
129;131;116
129;131;116
128;131;115
130;132;117
134;137;121
134;137;121
135;138;121
135;138;121
135;138;121
135;138;121
135;138;121
135;138;121
133;136;120
132;135;119
132;135;119
132;136;119
132;136;119
132;136;119
132;136;118
132;136;118
134;138;120
135;138;120
135;138;120
136;139;121
143;146;127
145;148;128
145;148;128
147;149;130
148;150;131
148;150;131
149;151;132
149;151;132
151;155;133
151;155;133
152;156;135
152;156;135
152;156;135
152;156;135
154;159;136
157;162;138
159;164;140
159;164;140
160;165;141
168;173;148
168;174;149
168;174;148
168;174;148
168;174;148
170;175;150
170;175;150
171;176;150
171;177;150
172;177;150
172;177;150
172;177;150
172;177;150
172;177;150
171;177;150
171;177;150
170;176;149
170;176;149
170;176;149
170;176;149
170;176;149
170;176;149
172;178;150
172;178;150
172;177;151
173;178;152
