R;G;B
179;121;57
181;120;58
180;120;58
177;117;57
174;116;55
172;115;54
170;114;54
170;114;54
169;113;54
169;113;54
171;114;54
171;114;54
167;112;53
169;113;54
169;112;54
169;112;54
169;112;54
168;112;53
176;119;55
176;118;55
176;118;55
175;117;54
175;117;54
173;115;54
171;114;53
171;114;53
173;117;55
174;117;54
174;117;54
174;117;54
175;117;56
176;118;57
176;118;57
174;116;56
172;115;54
170;114;53
167;112;52
167;111;54
166;110;53
166;111;53
165;110;53
165;110;53
163;109;52
159;106;50
159;106;50
159;105;50
159;105;50
158;106;50
159;107;51
156;105;50
157;106;51
157;105;50
157;105;50
159;106;51
159;106;50
166;111;53
168;113;54
167;112;53
166;111;52
166;111;52
166;111;53
166;111;53
174;117;54
174;117;54
175;118;55
173;115;54
172;115;54
173;115;54
173;115;54
172;115;55
171;115;54
171;115;54
171;114;54
171;114;54
170;113;53
169;112;54
168;112;53
168;113;54
168;113;54
168;113;54
167;112;53
169;113;53
169;113;53
170;113;54
169;113;54
169;113;54
169;112;53
174;116;54
176;117;55
176;117;55
176;117;55
177;118;56
177;118;56
177;117;55
173;116;55
173;116;55
172;114;55
171;113;54
171;113;54
169;112;53
168;112;53
167;111;52
167;111;53
167;111;53
167;111;53
167;111;53
165;109;52
166;111;53
166;111;53
166;110;53
166;110;53
166;111;53
169;111;54
168;112;54
167;111;53
167;111;53
166;110;52
166;110;52
166;110;52
169;113;54
169;113;54
171;114;55
172;114;55
172;114;55
172;114;54
172;114;54
172;114;54
172;114;54
173;115;55
173;115;55
173;115;55
175;116;54
175;116;54
175;116;54
175;116;54
175;116;54
175;116;54
175;116;54
169;112;53
169;112;53
169;112;54
168;111;53
166;111;53
166;110;53
166;110;53
166;110;53
166;110;52
166;110;52
169;111;54
169;111;54
169;111;54
169;112;54
169;112;54
168;112;54
168;112;54
168;112;54
168;112;54
168;112;54
168;112;54
168;112;54
168;112;54
168;112;53
167;111;53
167;111;53
168;112;53
169;112;54
168;112;54
168;112;54
169;112;53
169;113;54
169;113;54
172;114;54
172;114;54
172;114;53
172;115;54
172;115;54
172;115;54
173;116;54
177;119;56
177;119;55
177;119;55
177;119;55
177;119;55
176;118;55
176;117;55
176;117;55
175;117;54
175;117;55
175;117;55
175;117;55
171;112;54
170;112;54
170;112;54
170;113;52
170;113;52
170;114;53
170;113;52
170;113;52
171;114;52
170;114;52
171;114;52
171;114;52
170;114;52
170;114;52
171;115;52
171;115;52
171;115;52
171;114;52
171;114;52
171;114;52
171;115;52
171;115;53
171;114;52
170;114;52
170;114;52
170;114;52
168;112;51
168;112;52
168;112;52
167;111;51
167;111;51
167;111;52
164;109;51
161;106;51
161;106;51
161;106;51
161;106;51
161;106;51
161;107;51
161;107;51
161;107;51
161;106;51
162;106;51
162;106;51
162;106;51
162;106;52
162;106;51
162;106;51
162;106;51
162;106;51
162;107;52
162;107;52
161;106;52
161;106;52
159;106;52
157;104;51
157;104;51
157;104;50
157;104;50
149;100;50
148;98;49
148;98;49
146;98;49
146;98;49
146;98;49
143;95;48
142;94;47
136;90;46
134;89;45
134;88;45
134;88;45
134;88;45
135;89;45
135;89;45
135;89;45
136;90;45
140;93;46
140;93;46
140;93;46
140;93;46
140;93;46
141;94;47
141;94;47
143;95;47
142;95;47
143;95;47
143;95;47
142;95;47
142;95;47
142;94;47
143;95;47
143;95;47
144;96;47
143;96;48
143;96;48
143;95;47
143;95;47
141;94;47
140;93;46
140;93;46
137;91;46
136;90;45
136;90;45
133;87;44
133;87;44
131;87;43
129;85;43
129;85;43
129;85;43
127;84;42
127;84;42
125;82;42
125;82;42
123;81;41
123;81;42
123;81;42
118;78;40
118;78;40
117;77;39
117;77;39
108;70;36
108;71;37
106;70;37
101;66;35
100;65;34
100;65;34
100;65;34
99;64;34
98;63;33
98;63;33
97;62;33
86;55;30
86;55;30
84;54;29
82;53;29
77;50;27
76;49;27
75;49;27
75;49;27
73;47;25
73;47;25
72;46;25
72;46;25
68;43;24
68;43;24
68;43;23
68;43;23
67;43;23
67;43;23
66;42;23
67;43;23
66;42;23
66;42;23
66;42;23
66;42;23
67;43;23
67;43;23
67;43;23
67;43;23
67;42;23
67;43;24
67;43;24
67;42;23
66;42;23
66;42;23
66;42;23
66;42;23
67;43;24
68;43;23
68;43;23
68;43;24
70;45;24
70;45;24
70;44;24
72;45;24
72;45;24
72;46;25
72;46;25
73;47;26
78;50;26
78;50;26
79;50;28
80;50;28
80;50;28
80;51;28
80;51;28
80;51;28
85;54;29
85;54;30
85;54;30
86;54;30
86;55;30
86;55;30
87;56;30
87;56;31
87;56;31
87;56;31
88;57;31
88;57;30
88;57;30
89;57;30
90;58;31
90;58;31
90;58;31
91;59;32
96;61;33
96;61;33
96;62;33
96;61;33
96;61;33
97;62;33
97;62;33
97;62;33
99;64;33
99;64;33
98;64;34
98;63;33
98;63;33
98;63;33
99;64;33
99;64;33
100;64;34
100;65;34
99;64;33
98;63;33
98;64;34
98;64;34
97;63;34
96;62;33
90;57;32
88;56;30
88;56;30
88;56;30
87;56;30
87;56;30
87;56;30
87;55;30
88;57;30
88;57;31
88;57;31
88;57;31
89;57;30
89;57;30
89;56;30
89;56;30
90;58;31
90;58;31
89;57;30
89;57;30
90;58;31
88;56;30
88;56;30
89;57;31
89;57;31
87;56;30
87;56;30
87;56;30
87;56;30
87;56;30
84;54;29
84;54;29
83;53;28
82;53;28
82;53;28
81;52;28
81;52;28
81;52;29
81;52;29
80;51;28
80;51;27
80;51;27
80;51;27
79;51;28
79;51;28
80;51;28
80;51;28
79;50;28
79;50;27
79;50;27
80;51;28
80;51;28
80;51;28
80;51;28
80;52;28
80;52;28
80;52;28
78;50;27
78;50;27
78;50;27
78;50;27
78;50;27
76;49;26
76;49;26
76;49;26
75;49;26
75;49;26
75;49;26
73;47;26
73;47;26
73;47;26
73;47;26
72;46;26
72;46;26
71;46;25
71;46;25
71;45;25
71;46;25
71;46;25
70;45;24
70;45;24
70;45;25
70;45;25
70;45;25
70;45;25
71;45;25
71;45;25
70;45;24
70;45;24
70;45;24
70;44;24
70;44;24
71;46;25
71;46;25
71;46;25
71;46;25
72;46;25
72;46;25
72;46;25
72;46;25
72;46;25
73;47;25
73;47;25
72;46;25
72;46;25
72;46;25
72;46;25
72;46;25
71;46;25
71;46;25
71;46;25
71;46;25
71;46;25
72;46;25
72;46;25
72;46;25
73;47;25
73;47;25
73;47;25
73;47;25
73;47;25
73;47;25
75;49;26
75;49;26
76;49;27
76;49;27
76;49;27
77;50;27
77;50;27
78;50;27
78;50;27
79;50;27
79;50;27
79;50;28
79;50;28
80;51;28
80;51;28
81;51;29
81;51;28
81;51;28
82;52;29
82;52;29
81;52;29
81;52;28
82;52;29
82;52;29
80;51;28
80;51;28
80;51;27
80;51;27
80;51;28
80;51;28
81;51;28
81;51;28
81;51;28
81;51;28
81;51;28
81;51;28
81;51;28
80;51;28
81;51;28
81;51;28
82;52;29
82;52;29
82;52;29
84;54;30
84;54;30
85;54;30
85;54;30
87;56;30
87;55;30
87;55;30
87;55;30
89;57;31
89;57;31
89;57;31
91;58;31
91;58;31
91;59;31
91;59;32
91;59;32
90;58;31
90;58;31
90;58;31
89;57;30
89;57;30
90;58;31
90;58;31
89;57;31
90;57;30
90;57;30
90;57;30
90;57;30
90;57;30
91;59;31
91;59;31
91;59;31
93;60;32
93;60;32
94;61;32
94;61;32
94;60;31
94;60;31
99;64;33
99;64;33
99;64;33
100;66;35
100;66;35
101;66;35
104;68;36
104;68;36
104;67;35
104;67;35
105;68;35
105;68;35
105;68;36
105;68;36
105;68;36
105;69;37
105;69;37
104;68;36
104;68;36
103;68;35
104;68;35
102;67;35
102;67;35
102;68;35
102;68;35
102;68;35
102;67;35
102;67;35
103;68;35
103;68;35
104;68;35
104;68;35
104;68;35
105;69;36
105;69;36
106;70;36
107;70;36
107;70;36
109;72;38
109;72;38
111;73;38
111;73;38
113;74;39
114;75;39
114;75;39
116;76;40
116;76;40
116;76;40
115;76;40
115;76;40
115;76;40
113;75;39
113;74;38
113;74;38
113;74;39
113;74;39
113;74;39
113;74;39
112;73;39
112;73;39
112;73;39
111;73;38
111;73;38
111;73;38
112;74;38
112;74;38
112;74;38
112;74;38
112;74;38
113;75;38
113;75;38
114;75;39
114;75;39
116;77;40
116;77;40
119;79;40
123;82;42
123;82;42
127;84;42
127;84;42
133;88;45
133;88;45
138;92;47
138;92;47
144;96;48
148;98;48
152;101;50
152;101;50
156;105;50
156;105;50
159;107;50
159;107;50
161;108;51
162;108;52
162;108;52
164;109;52
164;109;52
164;109;52
163;109;50
163;109;50
162;108;50
160;106;50
160;106;50
158;105;50
158;105;50
156;102;50
156;102;50
153;101;50
153;101;50
149;99;49
144;96;48
144;96;48
140;93;46
136;90;45
136;90;45
133;88;45
133;88;45
131;87;44
128;85;43
128;85;43
125;83;42
125;83;42
125;83;42
124;82;42
124;82;42
120;80;40
120;80;40
118;78;40
116;76;39
116;76;39
115;76;39
112;74;37
112;74;37
111;73;37
111;73;37
110;72;37
110;72;37
110;72;37
110;72;37
110;72;37
110;72;38
110;72;38
110;72;37
110;72;37
110;72;37
110;72;37
110;72;37
108;70;36
108;70;36
107;70;36
107;70;36
105;68;35
104;67;35
102;66;35
102;66;35
100;64;34
100;64;34
99;63;33
99;63;33
98;62;33
96;61;32
97;62;33
97;63;33
99;64;34
99;64;34
100;64;34
100;65;34
100;65;34
102;66;34
102;66;34
103;67;35
103;67;35
103;68;35
103;68;35
104;69;36
104;69;36
104;69;36
103;67;35
103;67;35
103;67;36
103;67;36
