R;G;B
35;110;126
35;109;125
34;108;124
34;108;124
35;108;124
35;108;124
35;109;124
34;109;124
34;109;124
34;109;124
34;107;124
34;107;124
34;107;124
34;108;124
34;108;124
34;109;125
34;109;125
34;109;125
34;109;124
34;109;124
34;109;124
34;108;124
34;109;124
34;109;124
34;109;124
34;109;124
34;108;124
33;106;123
34;107;123
33;106;123
33;106;123
33;105;121
33;104;120
32;102;119
32;102;119
32;102;119
32;102;119
33;103;120
33;103;120
33;103;120
33;103;120
33;104;120
33;104;120
33;104;120
33;104;120
33;104;120
32;104;119
32;104;119
33;104;120
32;103;119
32;103;119
32;104;119
33;104;120
34;105;121
34;105;121
33;104;120
33;105;121
33;105;121
33;105;121
34;106;121
33;105;121
32;104;119
32;104;119
32;103;119
32;103;119
33;104;119
32;103;118
33;104;119
33;104;119
33;104;119
33;104;119
33;104;119
32;103;118
32;102;117
32;102;117
32;102;117
31;102;117
32;102;117
32;102;117
32;102;117
32;102;117
33;104;118
33;104;118
33;103;118
32;102;117
32;101;117
32;101;116
32;100;116
32;100;116
32;100;115
32;100;116
32;100;116
31;100;114
32;100;116
32;100;116
32;100;115
31;99;114
31;99;114
31;99;113
31;99;113
31;99;112
31;99;112
31;99;112
31;99;112
31;98;113
32;99;113
32;99;113
32;100;114
32;100;115
33;101;116
32;101;116
33;103;118
34;104;119
34;104;119
34;105;120
34;105;121
34;105;121
34;105;121
34;104;120
33;103;118
33;102;117
32;101;116
32;101;117
33;102;118
33;103;118
33;103;118
33;103;118
34;105;120
34;105;120
34;107;122
34;107;121
33;106;121
34;107;122
33;107;122
34;107;122
34;107;122
34;107;122
34;107;122
34;107;121
33;105;120
33;106;120
33;106;120
34;106;120
35;106;121
34;106;121
34;106;121
33;104;119
33;104;118
33;103;118
33;103;117
32;101;117
32;101;116
32;102;116
32;101;116
31;101;115
32;102;117
32;102;116
33;103;118
33;103;118
33;103;118
34;104;119
34;104;119
33;104;118
34;104;119
34;104;119
34;104;119
33;104;118
33;104;118
33;104;119
33;104;119
33;104;119
34;105;119
34;105;120
34;106;120
34;106;121
35;107;122
35;107;122
34;106;121
33;106;120
34;105;120
34;105;120
34;105;120
34;105;120
33;104;118
34;105;119
34;105;119
33;103;118
33;103;117
33;103;117
33;103;117
34;104;118
33;103;117
33;103;117
33;103;117
33;103;117
34;104;118
33;102;116
33;103;117
33;103;117
33;103;117
33;103;117
34;104;118
33;102;117
33;102;117
33;102;117
33;102;117
33;101;117
