R;G;B
40;125;37
41;125;38
41;125;37
41;125;37
40;124;37
40;124;37
40;124;37
40;124;37
40;124;37
39;123;36
39;123;36
39;122;36
38;122;35
38;122;36
38;122;36
38;122;36
39;122;37
39;121;36
38;120;36
39;121;37
39;121;37
39;120;37
40;121;37
39;119;36
38;118;36
39;118;36
38;118;36
39;118;36
38;117;36
38;117;36
38;116;35
38;116;35
37;115;34
37;115;34
37;115;35
37;115;35
37;114;34
37;114;34
37;113;34
36;113;33
36;112;34
37;113;34
36;112;34
36;111;33
37;112;35
36;111;34
36;111;33
36;111;33
36;111;33
36;110;33
37;111;34
36;111;34
36;110;33
36;110;33
35;109;33
35;109;33
35;109;33
35;109;33
35;110;33
35;108;32
35;109;32
35;109;32
36;109;33
36;109;33
36;108;33
36;108;33
36;108;33
36;108;33
36;109;34
36;108;34
36;108;34
35;108;33
35;108;32
34;107;32
35;108;33
34;106;32
34;106;32
34;106;32
34;106;32
34;106;32
34;105;32
34;105;32
33;104;32
34;103;32
33;102;32
34;102;32
33;101;31
33;100;32
32;100;31
32;99;31
33;99;31
33;99;31
32;97;30
32;97;30
31;97;30
31;96;30
31;96;30
30;95;29
30;95;29
30;94;30
30;94;30
30;93;29
30;93;29
30;93;29
30;93;29
30;92;28
29;92;28
30;92;28
29;91;27
30;92;28
30;91;28
29;90;27
29;90;27
30;90;27
29;89;28
30;90;28
30;89;28
29;88;27
29;87;27
28;86;27
28;86;28
28;86;28
28;86;28
27;83;26
27;83;26
27;83;26
27;83;26
27;82;26
26;80;25
26;80;25
27;80;26
26;79;25
23;75;23
24;76;24
25;76;24
25;76;24
25;76;24
25;76;24
25;75;24
25;75;24
25;76;24
26;76;25
26;76;25
25;76;25
26;77;25
26;77;25
26;78;25
26;78;25
27;79;26
26;79;25
27;79;26
26;80;26
26;80;26
27;80;26
26;80;25
26;80;25
27;80;26
27;80;25
25;79;24
26;80;25
27;81;25
27;82;26
28;83;26
28;83;27
28;83;26
28;84;26
28;84;26
28;84;26
29;87;27
28;86;26
28;86;26
28;86;26
27;86;26
27;84;26
26;83;26
26;82;25
26;82;25
27;82;25
27;79;25
26;78;25
26;78;25
26;78;25
26;78;25
25;76;25
25;76;25
25;74;24
24;73;23
24;73;23
24;73;23
24;72;23
24;71;23
23;70;22
23;70;22
23;68;22
23;68;22
22;65;21
21;64;21
22;63;21
20;61;20
20;61;20
20;60;20
19;58;19
19;58;19
20;57;19
18;56;17
20;57;19
19;57;18
19;57;18
19;57;19
18;56;18
20;57;19
20;57;19
19;58;19
19;58;19
20;58;19
20;58;19
20;60;20
20;60;19
21;61;20
21;61;20
21;62;20
20;61;19
21;63;21
21;62;20
21;62;20
21;62;20
21;61;20
21;62;20
21;62;21
21;61;20
21;61;20
20;61;20
21;62;21
20;62;20
20;61;20
20;62;20
20;62;20
22;63;21
22;63;21
22;64;21
22;66;22
22;66;22
23;68;23
23;69;22
23;69;22
23;70;22
23;70;22
24;72;23
23;71;22
24;72;22
24;72;22
24;72;22
24;72;22
24;72;22
24;72;22
24;73;23
24;73;23
23;72;23
24;72;23
24;71;23
24;71;23
24;71;23
23;70;22
23;70;22
22;69;22
22;69;22
23;69;23
23;69;22
23;69;22
23;69;22
23;69;22
23;70;22
23;69;23
23;69;23
23;69;23
23;69;23
23;69;23
23;68;22
23;69;23
23;68;22
23;68;22
23;68;22
22;68;22
22;67;21
22;67;22
23;68;22
22;67;21
23;68;21
22;67;21
22;67;21
23;69;22
23;69;22
23;69;22
24;71;23
23;71;23
24;71;23
24;71;23
24;71;23
25;74;24
25;73;24
24;73;23
24;72;23
24;72;23
25;74;24
25;74;24
25;75;25
24;73;23
24;73;23
24;74;24
24;74;24
25;75;24
25;76;24
24;76;24
24;76;24
26;77;24
24;76;24
24;76;24
26;77;25
27;78;26
27;78;26
26;78;25
25;77;24
25;77;24
26;77;25
25;75;24
25;75;24
25;75;24
25;75;24
25;74;24
23;73;23
23;71;23
23;71;23
23;70;23
24;70;23
24;70;23
24;71;24
23;68;22
23;68;22
22;67;22
23;67;22
22;67;22
22;66;21
22;66;21
22;66;21
22;66;21
21;65;20
22;66;21
21;65;21
21;65;21
22;65;21
22;65;21
22;65;21
21;65;21
21;65;21
21;62;20
21;62;20
20;61;20
21;61;20
19;57;19
20;57;20
20;57;20
20;57;20
20;57;20
20;57;20
20;56;19
18;54;18
18;54;18
18;54;18
18;54;18
19;55;18
18;54;17
18;54;18
18;54;18
18;54;18
17;53;17
17;53;17
19;56;18
19;57;19
19;57;19
19;57;19
20;58;19
20;58;19
20;58;19
21;62;21
21;62;21
22;63;21
22;63;21
21;63;20
21;63;20
21;63;20
21;63;21
20;63;20
21;63;20
21;63;20
20;63;20
22;65;22
21;65;21
22;66;21
22;66;21
22;66;22
22;66;21
22;66;21
21;66;21
23;68;22
23;69;23
23;69;23
22;69;22
23;69;22
23;69;22
24;71;23
24;74;23
24;74;23
24;74;23
25;76;24
25;77;25
25;77;25
26;80;25
26;80;26
26;80;26
26;81;26
27;82;26
27;82;26
26;82;26
28;87;28
28;87;28
28;87;28
29;88;28
29;88;28
30;89;28
28;89;27
30;95;29
31;97;29
31;97;29
31;98;29
31;98;29
31;98;29
