R;G;B
42;41;34
43;41;35
43;41;35
43;41;35
43;41;35
42;40;34
42;40;34
43;41;34
43;41;35
43;41;35
43;41;34
43;42;35
43;41;35
43;41;35
43;41;35
43;41;34
43;41;34
44;42;36
43;41;35
43;41;35
43;41;34
44;42;35
43;41;35
43;41;35
43;41;35
44;42;36
44;42;35
43;41;35
43;41;35
44;42;36
43;41;34
43;41;34
43;41;34
44;42;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;34
44;42;35
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
43;40;34
43;40;34
43;40;34
43;40;34
43;40;35
43;40;35
43;41;34
43;41;35
42;40;34
42;40;34
43;40;35
43;40;35
43;41;35
42;40;34
43;40;35
43;41;35
42;40;34
43;41;35
42;40;35
42;40;35
43;40;34
43;41;35
43;41;35
43;40;34
43;40;34
43;41;34
43;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
43;40;34
43;41;35
43;41;35
43;41;35
44;42;35
43;41;36
43;41;35
43;41;35
44;42;36
42;40;34
44;42;35
43;41;35
43;41;35
43;41;35
43;40;35
44;41;35
43;40;34
43;41;35
43;41;34
44;41;35
43;41;35
42;41;34
42;40;35
43;41;34
42;40;34
42;40;34
42;40;34
43;41;35
42;40;34
43;41;35
42;41;34
42;41;34
42;41;34
42;41;34
42;40;34
42;41;34
42;41;35
43;41;35
42;41;35
43;41;35
43;41;35
42;41;34
42;40;34
42;40;34
43;41;35
42;40;34
43;40;34
42;40;34
42;40;34
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
41;39;33
42;39;33
42;39;33
41;39;34
41;39;33
41;39;33
41;39;34
41;39;34
41;39;33
41;39;33
41;39;33
41;39;33
41;39;34
41;39;33
41;39;33
41;39;33
41;39;34
42;39;34
41;39;34
41;39;33
41;39;33
41;39;34
41;39;34
41;38;33
41;39;34
41;39;33
40;37;32
40;38;32
40;38;32
40;38;32
40;38;32
40;37;32
38;36;31
39;37;31
39;37;31
39;37;31
39;37;31
39;36;31
39;37;32
39;37;32
39;37;32
39;37;32
40;37;32
39;36;32
39;36;32
40;37;32
40;37;33
39;37;32
41;38;33
41;38;33
41;38;33
41;38;33
41;38;34
41;38;34
41;39;33
41;39;33
41;39;34
41;39;34
42;39;34
41;39;34
41;39;33
41;39;33
42;39;34
42;39;34
41;39;33
41;39;33
42;39;34
41;39;34
41;39;34
41;39;33
41;39;33
41;39;34
41;39;34
41;39;34
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;38;33
41;38;34
41;38;34
41;38;34
41;38;34
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;37;33
40;37;32
39;37;32
39;37;32
39;37;33
40;38;33
40;38;33
40;37;32
39;38;33
39;38;33
39;38;33
39;38;33
39;38;33
40;38;32
39;38;32
39;38;32
39;38;32
39;37;32
39;37;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;37;32
40;37;32
40;37;32
40;37;32
39;37;32
39;37;32
39;37;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;33
40;38;33
40;38;33
39;37;33
40;38;33
39;37;32
39;37;32
39;37;32
40;38;32
40;38;32
39;37;32
39;37;32
39;37;32
39;37;32
40;37;33
40;37;33
40;37;33
40;37;33
40;37;33
40;37;33
39;37;33
39;36;32
40;38;33
40;38;33
40;37;33
40;37;33
39;36;32
40;38;33
40;38;33
40;37;33
40;37;32
39;37;32
40;38;33
40;38;33
39;37;32
40;38;33
40;37;33
40;37;33
40;37;33
39;37;32
41;38;33
41;38;33
41;38;33
41;38;34
41;38;34
40;37;33
40;37;33
41;39;34
41;38;33
41;38;33
41;38;33
41;38;33
42;39;34
41;39;34
41;39;34
41;38;33
41;39;34
41;39;34
41;39;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
41;38;33
41;38;33
41;39;33
41;39;34
41;39;34
41;39;33
41;39;33
41;38;33
41;38;34
41;39;34
41;39;34
41;39;33
41;39;33
41;38;33
40;38;33
40;38;33
41;38;33
41;38;33
41;38;33
40;38;32
40;38;32
40;38;32
40;38;32
40;38;32
40;38;33
40;38;33
40;38;33
39;37;32
40;38;33
40;38;33
40;38;33
40;38;33
41;38;33
41;38;33
41;38;33
39;37;32
40;38;33
41;38;33
41;38;33
40;38;32
41;39;34
41;39;33
41;39;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;39;34
42;40;34
42;40;34
42;40;34
42;40;34
42;39;34
42;39;34
41;39;33
41;39;33
42;39;34
41;39;33
41;39;34
41;39;34
41;39;34
42;40;35
42;40;34
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
44;42;36
43;41;35
43;41;35
43;41;35
43;41;35
44;41;35
43;41;35
43;41;35
44;42;36
44;42;36
45;43;36
44;42;36
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;40;34
43;41;34
42;41;34
42;41;34
43;41;35
43;41;35
42;40;34
42;40;35
42;40;35
42;40;35
42;40;34
42;40;34
42;39;34
42;40;34
42;40;34
42;40;34
42;39;34
41;40;34
41;39;33
41;39;33
41;40;34
41;40;34
40;38;32
41;39;34
41;39;34
41;38;33
41;39;34
41;39;34
42;40;34
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;34
41;39;34
41;39;34
41;39;34
41;39;34
41;39;33
40;38;32
41;39;34
40;38;33
40;38;33
40;38;33
41;39;33
42;40;34
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
41;39;34
41;40;34
41;40;34
42;40;34
41;40;34
40;38;32
41;39;34
40;39;33
40;39;33
42;39;34
41;40;34
41;40;34
41;39;33
41;39;33
41;39;33
42;39;33
41;39;34
41;39;34
41;39;34
41;39;33
41;39;34
41;39;34
41;39;34
40;38;33
41;39;33
41;39;33
41;38;33
41;38;33
41;39;34
41;39;34
41;39;34
40;38;32
40;38;32
40;39;33
41;39;33
41;39;33
41;39;33
41;39;33
40;39;33
40;38;33
40;38;33
41;39;33
41;39;33
41;39;34
41;39;34
41;39;33
42;39;34
42;39;34
42;39;34
42;39;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;35
42;40;35
42;39;34
42;39;34
43;40;35
43;40;35
43;40;35
43;41;35
43;41;35
43;41;35
43;41;35
44;41;36
44;41;36
43;41;35
43;41;35
43;41;35
44;41;35
44;41;35
43;41;36
43;41;36
44;42;36
44;42;36
44;42;36
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
44;42;35
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
44;42;36
44;42;36
42;40;34
42;40;34
43;41;35
43;41;35
43;41;35
43;41;35
43;42;36
43;42;36
43;41;35
43;41;35
43;41;35
43;41;34
43;41;34
42;40;34
42;40;34
42;40;34
43;40;34
43;40;34
43;40;34
43;40;34
43;40;34
43;40;34
43;40;34
42;41;34
43;41;35
43;41;35
43;41;35
43;41;35
42;41;34
42;40;34
42;40;34
43;41;35
43;41;35
43;40;34
42;40;35
42;40;35
42;40;35
42;40;34
42;40;34
42;40;34
42;40;35
42;40;35
42;40;35
43;41;35
42;39;34
42;39;34
42;39;34
42;39;34
42;39;34
42;39;34
42;39;34
43;40;35
43;40;35
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
43;41;35
42;40;34
42;40;35
42;40;35
42;40;35
42;40;34
42;40;34
42;40;34
43;41;35
43;40;34
43;40;34
43;40;34
42;40;35
43;41;35
43;41;35
42;40;34
42;40;34
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;34
43;41;35
43;41;35
42;40;34
42;40;34
43;40;34
43;40;34
42;40;34
42;40;34
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
43;40;34
43;41;35
44;42;36
44;42;36
45;43;36
45;43;36
43;41;35
43;41;35
45;42;36
45;42;36
44;41;35
44;41;35
44;41;35
43;41;35
43;41;35
44;42;36
45;42;36
45;42;36
44;42;35
44;42;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
43;41;35
43;41;35
44;42;36
44;42;36
44;42;36
44;42;36
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
44;42;36
44;41;35
44;41;35
44;41;35
44;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
44;42;36
44;42;36
44;42;36
43;41;34
43;41;34
43;41;34
43;41;35
43;41;35
43;41;35
43;41;35
44;41;35
44;41;35
43;40;34
43;40;34
44;42;36
44;42;36
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
44;42;36
44;42;36
43;41;35
43;41;35
44;41;36
43;41;35
43;41;35
44;42;36
44;42;36
44;42;36
44;42;36
44;42;36
44;42;36
45;43;37
46;43;37
46;43;37
45;43;36
45;43;36
45;43;36
46;44;37
46;44;37
46;44;37
45;43;36
45;43;36
45;43;36
45;43;36
45;43;36
45;43;36
45;43;36
45;43;36
44;42;35
44;42;35
45;43;36
45;43;36
44;43;36
44;43;36
44;42;36
44;42;36
44;43;36
44;43;36
44;42;35
44;42;35
44;42;35
44;42;36
44;41;35
44;41;35
44;42;36
44;42;36
46;43;37
46;43;37
45;42;36
45;42;36
45;42;36
46;44;37
46;44;37
44;43;36
44;43;36
45;43;36
45;43;36
45;43;37
45;43;36
45;43;36
45;43;36
45;43;36
46;43;37
46;43;37
45;43;37
44;42;35
44;42;35
44;42;35
45;43;36
45;43;36
45;43;36
44;42;35
44;42;35
44;42;35
44;42;35
45;43;36
45;43;36
45;43;36
45;43;37
45;43;37
45;43;36
45;43;36
45;43;36
46;44;37
46;44;37
45;44;37
46;44;37
46;44;37
46;44;37
46;44;37
46;44;37
46;44;37
45;43;36
45;43;36
45;42;36
45;42;36
45;42;36
44;42;36
44;42;36
44;42;36
43;40;34
43;40;34
44;42;35
43;41;35
43;41;35
43;41;35
43;41;35
44;42;35
44;42;35
44;42;35
44;42;35
44;42;36
44;42;36
45;42;36
44;41;36
44;41;36
44;42;36
43;41;35
43;41;35
45;43;37
45;43;37
45;43;37
45;43;37
44;42;36
44;42;36
43;42;35
45;43;37
45;43;37
45;43;37
45;43;37
44;42;36
44;42;36
45;42;36
45;42;36
45;43;37
45;43;36
45;43;36
45;43;37
45;43;37
44;42;36
44;42;36
44;42;36
44;42;36
44;42;36
44;42;36
44;42;36
45;42;36
46;44;37
46;44;37
46;44;38
46;44;37
46;44;37
46;43;37
46;43;37
45;43;37
45;43;37
44;42;36
44;42;36
44;42;36
44;42;35
45;42;36
45;42;36
44;42;36
44;42;36
45;43;36
45;43;36
43;41;34
43;41;34
43;41;34
43;41;35
43;41;35
44;42;35
44;42;35
43;41;35
43;41;35
43;40;34
43;40;34
42;41;34
42;41;34
43;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
44;41;35
45;42;36
43;41;35
43;41;35
44;42;36
44;42;36
45;43;36
45;43;36
45;43;36
45;43;36
45;43;36
44;42;35
44;42;35
44;42;35
44;42;35
44;42;35
45;42;36
45;42;36
44;42;35
44;43;36
44;43;36
44;43;36
43;42;35
43;42;35
43;41;35
43;41;35
44;42;35
44;42;35
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
43;41;34
44;42;36
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;39;34
42;39;34
41;39;33
41;39;34
41;39;34
41;39;34
41;39;34
41;39;34
41;39;34
41;39;34
41;38;33
41;38;33
42;39;34
42;39;34
42;39;34
42;39;34
42;39;34
41;39;33
41;39;33
40;38;33
40;38;33
40;38;33
40;39;33
40;39;33
39;38;32
39;38;32
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;33
41;39;34
41;39;34
41;39;34
41;39;34
41;39;33
41;39;33
41;39;34
41;39;34
41;39;34
41;39;34
42;39;34
42;39;34
42;39;34
42;39;34
42;39;34
42;39;34
42;40;34
42;40;34
42;40;35
43;41;35
43;41;35
42;40;34
42;40;34
42;40;34
42;40;34
42;40;35
42;40;35
42;40;35
43;41;35
42;40;34
43;41;35
42;40;34
42;40;34
42;40;34
42;40;34
43;41;35
43;41;35
42;40;35
42;40;35
42;40;35
43;41;35
42;40;34
42;40;34
42;40;34
43;41;35
42;41;34
42;41;34
41;39;33
42;40;34
42;40;34
42;40;34
42;40;34
42;41;35
42;41;35
42;40;34
42;40;34
42;40;34
42;40;34
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
42;39;34
42;39;34
41;39;34
41;39;33
41;39;33
41;39;33
41;39;33
42;40;34
42;40;34
41;39;33
41;39;33
41;39;33
42;39;34
42;39;34
42;39;34
42;39;34
42;40;34
42;40;34
41;39;34
41;40;34
41;40;34
41;40;34
41;40;34
41;40;34
41;40;34
41;39;34
41;39;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;35
42;40;34
42;40;34
43;40;35
43;40;35
42;40;34
42;40;35
42;40;35
43;40;34
43;40;34
43;40;34
43;40;34
42;39;34
42;39;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;35
42;40;35
42;41;34
42;41;34
43;41;35
43;41;35
42;40;34
42;40;34
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
42;40;35
43;41;35
43;41;35
43;41;35
43;41;35
43;41;35
42;40;35
42;39;34
42;39;34
41;39;34
41;39;34
41;39;34
41;39;34
42;39;34
42;39;34
41;39;34
41;39;34
41;39;34
41;39;34
41;39;33
42;40;34
42;40;34
41;39;33
41;39;33
42;39;34
42;39;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
42;40;34
43;41;35
43;41;35
42;40;34
42;40;34
41;39;33
