R;G;B
59;19;15
58;18;14
57;17;13
55;15;12
56;16;13
55;15;13
56;16;15
56;16;15
56;17;16
56;18;16
56;18;16
56;18;15
55;18;14
54;17;13
53;17;13
53;17;13
52;16;11
54;16;12
52;15;12
54;17;14
54;17;14
55;18;14
57;20;15
57;21;15
57;20;14
57;20;14
58;22;14
58;22;14
58;21;14
58;21;13
57;20;13
56;18;12
56;18;13
55;17;12
55;17;12
55;17;12
54;17;12
56;18;14
56;18;14
57;20;14
57;20;14
58;21;15
59;21;16
58;21;16
58;20;16
57;20;15
56;19;14
55;18;13
55;18;13
55;17;12
56;18;14
58;18;15
58;18;15
58;18;15
58;18;15
60;18;17
60;17;17
59;16;16
57;14;13
57;14;13
56;13;13
55;13;13
55;13;13
55;13;13
54;14;12
53;14;10
54;16;11
53;17;10
53;18;9
53;18;9
55;20;10
55;20;9
55;20;9
56;20;10
57;21;11
58;21;12
57;20;12
57;20;12
59;21;14
59;21;15
58;20;14
59;21;15
57;20;13
58;21;14
57;19;13
59;21;14
59;21;14
60;21;16
62;22;17
62;23;17
63;23;17
63;23;17
63;22;17
62;22;16
62;22;16
58;19;15
56;17;14
56;17;14
56;17;14
56;18;15
56;18;15
56;18;16
56;18;15
54;18;12
53;18;12
53;18;12
52;17;11
52;17;12
52;16;13
53;16;13
54;17;14
52;15;13
55;18;15
55;19;14
55;19;13
54;18;12
54;18;12
55;19;13
55;18;13
55;18;14
55;18;14
55;17;14
55;19;12
55;18;12
54;17;12
56;18;15
56;18;15
57;19;16
56;18;14
54;16;12
55;17;13
55;17;13
56;17;13
55;17;13
56;17;14
57;19;15
57;19;15
56;19;14
56;19;14
55;18;13
56;18;13
56;18;13
55;18;13
55;18;12
55;18;13
54;16;12
54;16;12
53;16;12
52;15;11
54;17;13
54;17;13
54;17;13
54;17;13
54;17;13
54;17;13
54;17;13
54;17;13
54;16;13
54;16;13
54;16;13
55;18;14
56;18;14
56;18;14
57;19;15
57;19;15
55;17;14
53;17;13
53;17;13
54;18;13
54;18;13
53;18;12
53;18;12
53;18;12
53;18;12
53;18;12
54;19;13
54;19;12
54;19;12
54;19;12
54;18;12
54;18;12
54;18;12
54;18;12
54;18;12
54;18;13
54;18;13
55;19;13
55;19;13
55;19;13
53;18;12
53;18;12
53;17;12
53;17;12
53;18;13
53;18;13
53;17;12
53;17;12
52;17;12
53;18;13
52;18;12
51;17;11
51;17;11
51;17;11
51;17;11
50;17;11
51;17;12
50;16;11
50;16;11
50;17;11
50;16;11
50;16;11
49;16;11
49;16;11
49;16;11
49;16;11
48;16;11
48;16;11
48;16;11
46;14;11
46;14;11
46;14;11
45;14;11
43;12;10
43;13;10
43;13;10
42;12;9
42;12;9
42;13;10
41;12;10
41;12;10
40;12;10
40;12;10
39;11;9
38;11;9
39;12;10
38;11;9
38;11;9
37;10;8
36;9;8
36;9;8
36;10;9
36;10;8
35;9;8
35;9;8
35;9;9
34;9;8
34;9;8
33;9;8
33;9;8
32;9;7
33;9;9
33;9;9
32;8;8
32;8;8
32;8;8
31;8;7
30;8;7
31;9;8
31;9;8
30;9;7
30;9;8
30;9;8
29;8;7
30;8;7
30;8;7
30;8;8
29;8;7
28;8;6
27;7;6
28;8;7
27;7;6
25;6;5
25;6;5
26;7;5
26;7;6
26;7;6
27;8;6
26;7;6
27;8;6
27;8;6
27;8;6
27;8;6
26;8;6
26;8;6
26;7;5
26;7;5
26;7;5
26;7;5
26;7;5
24;6;4
24;6;4
24;6;5
24;6;5
25;6;5
24;6;4
23;5;4
23;5;4
24;6;5
24;6;5
24;7;6
24;7;6
23;6;5
23;7;5
23;7;5
22;6;5
22;5;4
22;5;4
21;5;3
21;5;3
21;6;4
22;5;5
22;5;5
22;5;5
22;5;4
21;5;4
21;5;4
20;5;4
20;5;4
20;5;4
20;5;4
21;5;4
21;5;4
20;5;4
21;6;4
21;6;4
20;5;4
20;5;4
20;5;4
20;5;5
20;5;4
20;6;5
20;6;5
20;5;4
20;5;5
20;5;5
22;6;5
21;6;5
21;5;5
21;6;5
20;5;4
20;5;4
22;6;5
22;6;5
22;6;5
21;5;5
21;5;5
20;5;5
20;5;5
21;6;5
21;6;5
21;6;5
20;5;5
20;5;4
20;5;4
19;5;4
19;5;4
20;5;4
20;5;4
20;6;5
20;6;5
20;5;4
20;5;4
20;5;4
20;5;4
20;5;4
